zinc_id,smiles
ZINC000014952227,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCC(CO)CC2)n1
ZINC000033359310,Cc1nc(Nc2ncc(C(=O)Nc3ccccc3C)s2)cc(N2CCN(CCO)CC2)n1
ZINC000063306731,Cc1nc(Cc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
ZINC000028637323,Cc1nc(NCCN2CCOCC2)cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)n1
ZINC000205871628,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)n2C)nc(N2CCN(CCO)CC2)n1
ZINC000087721933,Cc1nc(/N=C2\NC[C@@H](C(=O)Nc3c(C)cccc3Cl)S2)cc(N2CCN(CCO)CC2)n1
ZINC000087721934,Cc1nc(/N=C2\NC[C@H](C(=O)Nc3c(C)cccc3Cl)S2)cc(N2CCN(CCO)CC2)n1
ZINC000143113998,O=C(Nc1ccccc1Cl)c1cnc(Nc2cc(C3CCN(CCO)CC3)ccn2)s1
ZINC000205871768,CCCN1CCN(c2nc(C)nc(Nc3ncc(C(=O)Nc4c(C)cccc4Cl)n3C)n2)CC1
ZINC000038413756,Cc1cc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)ccc1Nc1nccc(-c2cccnc2)n1
ZINC000145025035,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccccc2)n1
ZINC000065743052,Cc1ccc(NC(=O)c2cccc(CN3CCN(C)CC3)c2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000021981222,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000049018631,Cc1ccc(-c2ccnc(Nc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)n2)cn1
ZINC000064624443,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCN)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000103231982,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000103231985,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCF)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000137366748,Cc1cc(-c2cccnc2)nc(Nc2cc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)ccc2C)n1
ZINC000096923483,CC(=O)N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1
ZINC000096923484,Cc1ccc(NC(=O)c2ccc(CN3CCN(C=O)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000038485327,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)C(=O)C3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000022925885,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccccn2)n1
ZINC000022061375,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccc[n+]([O-])c2)n1
ZINC000102283123,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccc(O)c(O)c2)n1
ZINC000575410916,Cc1ccc(NC(=O)c2ccc(CN3CC[N+](C)(O)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000022061372,Cc1ccc(NC(=O)c2ccc(CN3CC[N+](C)([O-])CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC001848437395,Cc1ccc(NC(=O)c2ccc(CN3CC[N+](C)(CCl)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000575232300,Cc1ccc(NC(=O)c2ccc(C[N+]3(O)CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000077301185,Cc1ccc(NC(=O)c2ccc(C[N+]3([O-])CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000226823398,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccc[n+]2[O-])n1
ZINC000095913223,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Cc4nccc(-c5cccnc5)n4)c3)cc2)CC1
ZINC001848441646,Cc1ccc(NC(=O)c2ccc(C[N+]3([O-])CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000040872877,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1ncc(-c2cccnc2)[nH]1
ZINC000095617641,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(C2=CN(O)CC=C2)n1
ZINC001561525076,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(C2=CNOCC=C2)n1
ZINC000077301188,Cc1ccc(NC(=O)c2ccc(C[N+]3([O-])CC[N+](C)([O-])CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000575232548,Cc1ccc(NC(=O)c2ccc(C[N+]3(O)CC[N+](C)(O)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000034997288,C[C@@H]1C=CC(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)=C[C@@H]1Nc1nccc(-c2cccnc2)n1
ZINC000034997295,C[C@H]1C=CC(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)=C[C@H]1Nc1nccc(-c2cccnc2)n1
ZINC000034997290,C[C@H]1C=CC(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)=C[C@@H]1Nc1nccc(-c2cccnc2)n1
ZINC000034997293,C[C@@H]1C=CC(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)=C[C@H]1Nc1nccc(-c2cccnc2)n1
ZINC000473249094,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-n1cc(-c2cccnc2)cn1
ZINC000095617639,CN1CCN(Cc2ccc(C(=O)NC3=C[C@H](Nc4nccc(-c5cccnc5)n4)[C@@H](CO)C=C3)cc2)CC1
ZINC000095617640,CN1CCN(Cc2ccc(C(=O)NC3=C[C@@H](Nc4nccc(-c5cccnc5)n4)[C@@H](CO)C=C3)cc2)CC1
ZINC000095617638,CN1CCN(Cc2ccc(C(=O)NC3=C[C@@H](Nc4nccc(-c5cccnc5)n4)[C@H](CO)C=C3)cc2)CC1
ZINC000040393740,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2ccncc2)c[nH]1
ZINC000095617637,CN1CCN(Cc2ccc(C(=O)NC3=C[C@H](Nc4nccc(-c5cccnc5)n4)[C@H](CO)C=C3)cc2)CC1
ZINC000071422088,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Cc1nc(-c2cccnc2)cs1
ZINC000040913819,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4ncc(-c5cccnc5)[nH]4)c3)cc2)CC1
ZINC000040873649,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2ccccc2)c[nH]1
ZINC000685933136,Cc1ccc(NC(O)=C2C=C[C](CN3CC[N+](C)([O-])CC3)C=C2)cc1Nc1nccc(-c2cccnc2)n1
